2016-11-29 09:53:27,173 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kpadsala\trial\datafeed-engine\src\test\resources
2016-11-29 09:53:33,460 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 09:53:33,462 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-29 09:53:33,464 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 09:53:33,466 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kpadsala\trial\datafeed-engine\src\test\resources
2016-11-29 09:54:35,866 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: org.yds.smrutiApp:datafeed-engine:0.0.1-SNAPSHOT @ C:\Users\Kpadsala\trial\datafeed-engine\pom.xml.
2016-11-29 09:54:35,965 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-server/1.19/jersey-server-1.19.pom
2016-11-29 09:54:35,997 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-server/1.19/jersey-server-1.19.pom
2016-11-29 09:54:36,068 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-project/1.19/jersey-project-1.19.pom
2016-11-29 09:54:36,105 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-project/1.19/jersey-project-1.19.pom
2016-11-29 09:54:36,154 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-core/1.19/jersey-core-1.19.pom
2016-11-29 09:54:36,186 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-core/1.19/jersey-core-1.19.pom
2016-11-29 09:54:36,280 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-servlet/1.19/jersey-servlet-1.19.pom
2016-11-29 09:54:36,312 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-servlet/1.19/jersey-servlet-1.19.pom
2016-11-29 09:54:36,511 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/org/apache/tomcat/servlet-api/6.0.44/servlet-api-6.0.44.pom
2016-11-29 09:54:36,534 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/org/apache/tomcat/servlet-api/6.0.44/servlet-api-6.0.44.pom
2016-11-29 09:54:36,618 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-server/1.19/jersey-server-1.19.jar
2016-11-29 09:54:36,839 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-server/1.19/jersey-server-1.19.jar
2016-11-29 09:54:36,876 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-core/1.19/jersey-core-1.19.jar
2016-11-29 09:54:37,047 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-core/1.19/jersey-core-1.19.jar
2016-11-29 09:54:37,111 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-servlet/1.19/jersey-servlet-1.19.jar
2016-11-29 09:54:37,344 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/com/sun/jersey/jersey-servlet/1.19/jersey-servlet-1.19.jar
2016-11-29 09:54:37,470 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://nexus.esprida.com:8081/nexus/content/groups/public/org/apache/tomcat/servlet-api/6.0.44/servlet-api-6.0.44.jar
2016-11-29 09:54:37,585 [Worker-8] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://nexus.esprida.com:8081/nexus/content/groups/public/org/apache/tomcat/servlet-api/6.0.44/servlet-api-6.0.44.jar
2016-11-29 09:54:38,984 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 09:54:38,987 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-29 09:54:38,989 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 09:54:38,990 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kpadsala\trial\datafeed-engine\src\test\resources
2016-11-29 09:54:38,990 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of datafeed-engine
2016-11-29 09:54:38,991 [Worker-8] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for datafeed-engine
2016-11-29 09:54:38,995 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 09:54:40,130 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 09:54:40,131 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-29 09:54:40,133 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 09:54:40,134 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kpadsala\trial\datafeed-engine\src\test\resources
2016-11-29 10:02:09,468 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 10:02:09,477 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-29 10:02:09,479 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 10:02:09,480 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kpadsala\trial\datafeed-engine\src\test\resources
2016-11-29 10:03:56,923 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 10:03:56,932 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-11-29 10:03:56,933 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-29 10:03:56,935 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Kpadsala\trial\datafeed-engine\src\test\resources
2016-11-29 11:01:33,120 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
